n;typedident;identifier;typ;coord1;plx;MagU;MagB;MagV;MagR;MagI;spectype;bib;not
1 ;24_UMa;* d UMa                            ;RS*;09 34 28.8617537809 +69 49 49.226466640;  30.93; 5.67 ; 5.34 ; 4.57 ; 3.91 ; 3.50 ;G5III-IV       ; 280;   0
2 ;44_Boo__i_Boo_;* i Boo                            ;EB*;15 03 47.29565 +47 39 14.6228          ;  79.95;     ~;     ~;     ~;     ~;     ~;G0Vn           ; 523;   0
3 ;AB_Dor;V* AB Dor                          ;TT*;05 28 44.8916324761 -65 26 55.289846904;  65.32; 8.259; 7.856; 6.999; 6.496; 5.993;K0V            ; 932;   0
4 ;AD_Leo;BD+20 2465                         ;Er*;10 19 36.2808024653 +19 52 12.014037746; 201.37;     ~;10.82 ; 9.52 ; 9.19 ;     ~;M4Vae          ;1154;   0
5 ;AR_Lac;V* AR Lac                          ;RS*;22 08 40.8180372773 +45 44 32.104045703;  23.43; 7.09 ; 6.83 ; 6.11 ;     ~;     ~;K0IVe+G5IV     ; 696;   0
6 ;AU_Mic;V* AU Mic                          ;BY*;20 45 09.5323695486 -31 20 27.241710746; 102.83;     ~;10.05 ; 8.627; 9.078; 6.593;M1VeBa1        ; 901;   0
7 ;Algol;* bet Per                          ;Al*;03 08 10.1324535 +40 57 20.328013      ;  36.27; 1.70 ; 2.07 ; 2.12 ; 2.08 ; 2.11 ;B8V            ;1150;   2
8 ;CC_Eri;V* CC Eri                          ;BY*;02 34 22.5662436236 -43 47 46.871752741;  86.68;11.305;10.201; 8.865; 7.926; 6.992;K7V            ; 249;   0
9 ;Capella;* alf Aur                          ;SB*;05 16 41.35871 +45 59 52.7693          ;  76.20; 1.33 ; 0.88 ; 0.08 ;-0.52 ;-0.96 ;G3III:         ;1139;   0
10;DX_Cha;V* DX Cha                          ;Ae*;12 00 05.0870448691 -78 11 34.559255151;   9.23;     ~; 6.81 ; 6.60 ;     ~;     ~;A0_sh          ; 306;   0
11;DoAr_21_V2246_Oph_;Haro 1-6                           ;Or*;16 26 03.0281201323 -24 23 36.193999164;   7.45;     ~;14.15 ;14.01 ;12.38 ;10.80 ;K0             ; 204;   0
12;EQ_Peg;BD+19 5116                         ;** ;23 31 52.17898 +19 56 14.1505          ; 161.76;12.737;11.749;10.165; 8.982; 7.446;M4+M5          ; 421;   0
13;ER_Vul;HD 200391                          ;Ae*;21 02 25.9068825509 +27 48 26.439773330;  19.69;     ~; 7.93 ; 7.374;     ~; 6.624;G0V+G5V        ; 337;   0
14;EV_Lac;V* EV Lac                          ;Er*;22 46 49.7311740821 +44 20 02.372223230; 198.01;     ~;11.85 ;10.26 ; 9.89 ;     ~;M4.0V          ; 804;   2
15;FK_Com__HD_117555_;V* FK Com                          ;Ro*;13 30 46.7993742986 +24 13 57.786184235;   4.61;     ~; 9.04 ; 8.245;     ~; 7.204;G4III          ; 348;   1
16;GK_Per;V* GK Per                          ;No*;03 31 12.0096626899 +43 54 15.467450081;   2.26;     ~;10.2  ;14.0  ;     ~;     ~;K1IV           ; 868;   0
17;HD_79826;HD 79826                           ;Ro*;09 15 55.7216017603 -12 14 08.103879276;  18.06;     ~; 9.48 ; 8.79 ;     ~; 8.032;G6V+M1/3V      ;  12;   0
18;HR_5110;V* BH CVn                          ;RS*;13 34 47.8087874928 +37 10 56.694070527;  21.67; 5.43 ; 5.38 ; 4.98 ; 4.57 ; 4.27 ;A6m            ; 318;   0
19;Hen_3-600;TWA 3                              ;** ;11 10 27.894072 -37 31 51.96612        ;  16.64;     ~;13.53 ;12.05 ;11.61 ; 9.29 ;M4Ve+M4Ve      ; 200;   0
20;II_Peg;HD 224085                          ;RS*;23 55 04.0516465022 +28 38 01.248194500;  25.40; 8.88 ; 8.20 ;     ~; 6.9  ;     ~;K2+IVeFe-1     ; 683;   0
21;IM_Lup;THA 15-12                          ;Or*;15 56 09.2067120748 -37 56 06.126159332;   6.31;     ~;13.12 ;11.93 ;11.45 ;     ~;M0e            ; 254;   0
22;IM_Peg;V* IM Peg                          ;RS*;22 53 02.2658951462 +16 50 28.291474642;  10.05;     ~; 7.024; 5.890;     ~;     ~;K2III          ; 319;   1
23;OU_And__HD_223460_;V* OU And                          ;Ro*;23 49 40.9598068715 +36 25 31.008222497;   7.17;     ~; 6.69 ; 5.90 ;     ~;     ~;G1IIICaIIem    ; 126;   0
24;Proxima_Cen;V* V645 Cen                        ;Er*;14 29 42.9451234609 -62 40 46.170818907; 768.50;14.21 ;12.95 ;11.13 ; 9.45 ; 7.41 ;M5.5Ve         ; 974;   0
25;RY_Tau;V* RY Tau                          ;Or*;04 21 57.4132838427 +28 26 35.533990877;   2.26;10.82 ;10.34 ; 9.30 ; 9.67 ; 8.87 ;K1IV/Ve        ; 649;   1
26;SU_Aur;V* SU Aur                          ;Or*;04 55 59.3861369488 +30 34 01.499800471;   6.31;     ~;10.33 ; 9.30 ; 9.17 ;     ~;G2IIIne        ; 535;   0
27;Speedy_Mic;V* BO Mic                          ;BY*;20 47 44.9892114361 -36 35 40.819135413;  14.98;     ~;10.39 ; 9.337;     ~; 8.216;K3V(e)         ; 165;   0
28;T_Cha;V* T Cha                           ;Or*;11 57 13.5268556629 -79 21 31.521755129;   9.12;     ~;10.00 ;11.86 ;     ~;     ~;K0e            ; 234;   1
29;T_Tau;V* T Tau                           ;Or*;04 21 59.4323326335 +19 32 06.439974179;   6.93;     ~;11.01 ; 9.30 ; 9.80 ;     ~;K0IV/Ve        ;1253;   2
30;TV_Crt;HD 98800                           ;RS*;11 22 05.28975 -24 46 39.7571          ;  22.27;     ~;10.20 ; 9.28 ; 9.26 ; 7.386;K5V(e)         ; 333;   0
31;TW_Hydrae;V* TW Hya                          ;TT*;11 01 51.9054298616 -34 42 17.031550898;  16.64;     ~;11.94 ;10.50 ;10.626; 9.18 ;K6Ve           ;1545;   1
32;TWA_11B;HD 109573B                         ;PM*;12 36 00.5493890939 -39 52 15.696207303;  14.10;     ~;     ~;     ~;     ~;10.78 ;M2.5           ;  74;   0
33;TWA_19A;HD 102458                          ;Y*O;11 47 24.5436617458 -49 53 03.018055867;   8.82;     ~; 9.70 ; 9.07 ;     ~; 8.40 ;G4V            ;  79;   0
34;TWA_19B;TWA 19B                            ;Em*;11 47 20.5878427409 -49 53 04.418207096;  16.64;     ~;13.82 ;12.30 ;     ~;10.21 ;K7e            ;  25;   0
35;TY_Pyx;V* TY Pyx                          ;RS*;08 59 42.7216317719 -27 48 58.694776546;  18.28; 7.82 ; 7.56 ; 6.87 ;     ~;     ~;G5V            ; 245;   0
36;TZ_CrB;* sig CrB                          ;RS*;16 14 40.85557 +33 51 30.9497          ;  47.44;     ~;     ~;     ~;     ~;     ~;F6V+G0V        ; 476;   0
37;UX_Ari;V* UX Ari                          ;RS*;03 26 35.3764089427 +28 42 54.211100955;  19.81; 7.76 ; 7.28 ; 6.37 ;     ~;     ~;K0IV           ; 663;   0
38;VW_Cep;V* VW Cep                          ;EB*;20 37 21.6248469581 +75 36 01.889162699;  37.56;     ~; 8.13 ;     ~; 7.0  ;     ~;G8V+K0V        ; 523;   0
39;YY_Gem;V* YY Gem                          ;BY*;07 34 37.4475372002 +31 52 10.181030942;  66.23;11.60 ;10.56 ; 9.27 ; 7.69 ; 6.67 ;M0.5VeFe-2     ; 819;   0
40;YY_Men__HD_32918_;V* YY Men                          ;Ro*;04 58 17.9371538168 -75 16 37.985311997;   4.61;     ~; 9.11 ; 8.05 ;     ~;     ~;K1IIIp         ; 118;   0
41;lambda_And;* lam And                          ;RS*;23 37 33.8426114 +46 27 29.337984      ;  37.87; 5.54 ; 4.84 ; 3.82 ; 3.04 ; 2.47 ;G8IVk          ; 640;   0
42;procyon;* alf CMi                          ;SB*;07 39 18.11950 +05 13 29.9552          ; 284.56; 0.82 ; 0.79 ; 0.37 ;-0.05 ;-0.28 ;F5IV-V+DQZ     ;1765;   0
43;sigma_Gem;* sig Gem                          ;RS*;07 43 18.7269793 +28 53 00.642191      ;  26.08; 6.38 ; 5.41 ; 4.29 ; 3.37 ; 2.79 ;K1IIIe         ; 444;   0
